Embedding_ID,Encryption_Time
0,0.004835844039916992
1,0.016369342803955078
2,0.008845329284667969
3,0.005402326583862305
4,0.007321357727050781
5,0.007241487503051758
6,0.006032228469848633
7,0.009012460708618164
8,0.0071544647216796875
9,0.007483243942260742
10,0.006102561950683594
11,0.007714271545410156
12,0.008151769638061523
13,0.011878252029418945
14,0.004576206207275391
15,0.015569925308227539
16,0.008048057556152344
17,0.010738372802734375
18,0.0061953067779541016
19,0.005438804626464844
20,0.007447957992553711
21,0.0
22,0.0
23,0.009725093841552734
24,0.0
25,0.0
26,0.015369415283203125
27,0.015664339065551758
28,0.008043527603149414
29,0.0
30,0.018019437789916992
31,0.006590843200683594
32,0.013305187225341797
33,0.0139617919921875
34,0.004029035568237305
35,0.011573076248168945
36,0.0
37,0.013624191284179688
38,0.01396489143371582
39,0.011601924896240234
40,0.01834583282470703
41,0.016631603240966797
42,0.0
43,0.0051763057708740234
44,0.0
45,0.015847444534301758
46,0.0
47,0.015064716339111328
48,0.0
49,0.00686192512512207
50,0.0
51,0.006284952163696289
52,0.009186267852783203
53,0.0
54,0.0
55,0.015858173370361328
56,0.021853208541870117
57,0.011281251907348633
58,0.004895925521850586
59,0.0
60,0.014063596725463867
61,0.010776758193969727
62,0.0157318115234375
63,0.013998031616210938
64,0.020301342010498047
65,0.014273405075073242
66,0.013740062713623047
67,0.012423992156982422
68,0.00997304916381836
69,0.0
70,0.0028641223907470703
71,0.012687921524047852
72,0.0
73,0.0
74,0.01583075523376465
75,0.007196187973022461
76,0.008246898651123047
77,0.008293628692626953
78,0.005522966384887695
79,0.008244991302490234
80,0.004784822463989258
81,0.005034446716308594
82,0.008774518966674805
83,0.008311271667480469
84,0.008238077163696289
85,0.005185127258300781
86,0.005725383758544922
87,0.006629228591918945
88,0.01646709442138672
89,0.008981704711914062
90,0.00850057601928711
91,0.0070493221282958984
92,0.006003379821777344
93,0.008746623992919922
94,0.005428314208984375
95,0.010543346405029297
96,0.006325244903564453
97,0.0063877105712890625
98,0.008086919784545898
99,0.0057985782623291016
100,0.007042884826660156
101,0.008102655410766602
102,0.006774187088012695
103,0.006840944290161133
104,0.008497953414916992
105,0.011336088180541992
106,0.0074384212493896484
107,0.006788730621337891
108,0.008214473724365234
109,0.007096529006958008
110,0.0070209503173828125
111,0.010632753372192383
112,0.0053827762603759766
113,0.00738072395324707
114,0.006425142288208008
115,0.013180732727050781
116,0.0078089237213134766
117,0.0077555179595947266
118,0.0067942142486572266
119,0.006193399429321289
120,0.007512092590332031
121,0.008892536163330078
122,0.005544424057006836
123,0.0021092891693115234
124,0.0
125,0.013765335083007812
126,0.00830841064453125
127,0.006998300552368164
128,0.008543968200683594
129,0.002516031265258789
130,0.011329174041748047
131,0.010046720504760742
132,0.00832223892211914
133,0.007396697998046875
134,0.006192684173583984
135,0.015430927276611328
136,0.0060918331146240234
137,0.008487224578857422
138,0.008143424987792969
139,0.010241508483886719
140,0.01361989974975586
141,0.008009910583496094
142,0.008200645446777344
143,0.0054128170013427734
144,0.00852513313293457
145,0.007165431976318359
146,0.004342794418334961
147,0.005723237991333008
148,0.014775276184082031
149,0.006165742874145508
150,0.0070438385009765625
151,0.011619091033935547
152,0.008859634399414062
153,0.013866424560546875
154,0.011884927749633789
155,0.010194540023803711
156,0.006451129913330078
157,0.011382579803466797
158,0.014287233352661133
159,0.0067653656005859375
160,0.006819248199462891
161,0.013414144515991211
162,0.006183147430419922
163,0.005842685699462891
164,0.010541915893554688
165,0.007396697998046875
166,0.013034343719482422
167,0.013880491256713867
