Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR
-0.6262643080412128,0.5,0.5,1.0,0.6666666666666666,1.0,0.0
-0.6180921781065022,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.6099200481717915,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.6017479182370808,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5935757883023701,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5854036583676595,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5772315284329488,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5690593984982382,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5608872685635276,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0
-0.5527151386288168,0.5,0.5,0.999,0.6664442961974649,0.999,0.001
-0.5445430086941062,0.4985,0.4992481203007519,0.996,0.6651085141903172,0.999,0.004
-0.5363708787593955,0.498,0.4989969909729188,0.995,0.6646626586506347,0.999,0.005
-0.5281987488246849,0.499,0.4994979919678715,0.995,0.6651069518716578,0.997,0.005
-0.5200266188899741,0.5,0.5,0.995,0.6655518394648829,0.995,0.005
-0.5118544889552635,0.502,0.501007049345418,0.995,0.666443402545211,0.991,0.005
-0.5036823590205528,0.503,0.5015136226034309,0.994,0.6666666666666667,0.988,0.006
-0.4955102290858422,0.504,0.502020202020202,0.994,0.6671140939597315,0.986,0.006
-0.4873380991511315,0.5045,0.5022784810126583,0.992,0.666890756302521,0.983,0.008
-0.47916596921642085,0.505,0.502532928064843,0.992,0.6671149966375253,0.982,0.008
-0.47099383928171024,0.5055,0.5027904616945713,0.991,0.6671154493436554,0.98,0.009
-0.4628217093469995,0.507,0.503560528992879,0.99,0.667565745111261,0.976,0.01
-0.4546495794122889,0.51,0.5051020408163265,0.99,0.6689189189189189,0.97,0.01
-0.4464774494775782,0.512,0.5061349693251533,0.99,0.6698240866035182,0.966,0.01
-0.43830531954286756,0.513,0.5066598360655737,0.989,0.6700542005420055,0.963,0.011
-0.4301331896081569,0.514,0.5071868583162218,0.988,0.6702849389416553,0.96,0.012
-0.4219610596734462,0.515,0.5077081192189106,0.988,0.6707399864222675,0.958,0.012
-0.41378892973873554,0.5145,0.5074703760947965,0.985,0.6698401904114246,0.956,0.015
-0.4056167998040249,0.5155,0.5080103359173127,0.983,0.6698466780238501,0.952,0.017
-0.39744466986931426,0.517,0.5088174273858921,0.981,0.6700819672131147,0.947,0.019
-0.38927253993460353,0.52,0.5104166666666666,0.98,0.6712328767123288,0.94,0.02
-0.3811004099998929,0.523,0.5120292887029289,0.979,0.6723901098901099,0.933,0.021
-0.37292828006518225,0.527,0.5141955835962145,0.978,0.6740179186767745,0.924,0.022
-0.3647561501304716,0.5295,0.5155837295298468,0.976,0.6747321119944694,0.917,0.024
-0.3565840201957609,0.532,0.5169671261930011,0.975,0.6756756756756757,0.911,0.025
-0.34841189026105024,0.5345,0.5183608302288452,0.974,0.6766238277179576,0.905,0.026
