Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR,EER
-0.5970780107057563,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,0.5
-0.5890525439902411,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,0.0,0.4995
-0.5810270772747259,0.502,0.501002004008016,1.0,0.6675567423230975,0.996,0.0,0.498
-0.5730016105592107,0.5025,0.5012531328320802,1.0,0.667779632721202,0.995,0.0,0.4975
-0.5649761438436955,0.502,0.5010030090270813,0.999,0.6673346693386774,0.995,0.001,0.498
-0.5569506771281804,0.502,0.5010030090270813,0.999,0.6673346693386774,0.995,0.001,0.498
-0.5489252104126652,0.5025,0.5012569130216189,0.997,0.6671127467380394,0.992,0.003,0.4975
-0.5408997436971499,0.502,0.501007049345418,0.995,0.666443402545211,0.991,0.005,0.498
-0.5328742769816347,0.5035,0.5017650025214322,0.995,0.6671136439825678,0.988,0.005,0.4965
-0.5248488102661195,0.505,0.5025252525252525,0.995,0.6677852348993288,0.985,0.005,0.495
-0.5168233435506043,0.505,0.5025252525252525,0.995,0.6677852348993288,0.985,0.005,0.495
-0.5087978768350891,0.5065,0.5032911392405063,0.994,0.6682352941176469,0.981,0.006,0.4935
-0.500772410119574,0.5085,0.504312531709792,0.994,0.6691349713901042,0.977,0.006,0.4915
-0.4927469434040588,0.509,0.5045731707317073,0.993,0.6691374663072776,0.975,0.007,0.491
-0.4847214766885436,0.5085,0.5043213014743264,0.992,0.6686889113582744,0.975,0.008,0.4915
-0.4766960099730284,0.5095,0.5048346055979643,0.992,0.6691399662731871,0.973,0.008,0.4905
-0.46867054325751323,0.511,0.5056122448979592,0.991,0.6695945945945947,0.969,0.009,0.489
-0.46064507654199804,0.511,0.5056179775280899,0.99,0.6693711967545639,0.968,0.01,0.489
-0.4526196098264828,0.513,0.5066530194472876,0.99,0.6702775897088693,0.964,0.01,0.487
-0.4445941431109676,0.5135,0.5069124423963134,0.99,0.6705045716220793,0.963,0.01,0.4865
-0.43656867639545244,0.516,0.5082219938335046,0.989,0.671418873048201,0.957,0.011,0.484
-0.4285432096799372,0.5175,0.5090252707581228,0.987,0.6716570261993875,0.952,0.013,0.4825
-0.420517742964422,0.518,0.5092975206611571,0.986,0.6716621253405994,0.95,0.014,0.482
-0.41249227624890683,0.5195,0.5101088646967341,0.984,0.6719016729259134,0.945,0.016,0.4805
-0.40446680953339165,0.52,0.5104058272632674,0.981,0.6714579055441479,0.941,0.019,0.48
-0.39644134281787646,0.5235,0.5122843700993205,0.98,0.6728458633710952,0.933,0.02,0.47650000000000003
-0.3884158761023613,0.5255,0.5133577789418544,0.98,0.6737710553454797,0.929,0.02,0.47450000000000003
-0.3803904093868461,0.526,0.5136554621848739,0.978,0.6735537190082644,0.926,0.022,0.47400000000000003
-0.3723649426713309,0.531,0.5163674762407603,0.978,0.6758811333794057,0.916,0.022,0.46900000000000003
-0.36433947595581573,0.534,0.5180467091295117,0.976,0.6768377253814147,0.908,0.024,0.466
-0.35631400924030054,0.536,0.5191489361702127,0.976,0.6777777777777777,0.904,0.024,0.464
-0.3482885425247853,0.536,0.5192102454642475,0.973,0.6771050800278358,0.901,0.027,0.464
-0.3402630758092701,0.5365,0.5195500803427959,0.97,0.6766655040111614,0.897,0.03,0.4635
-0.33223760909375494,0.538,0.5204741379310345,0.966,0.676470588235294,0.89,0.034,0.462
-0.32421214237823975,0.542,0.5227765726681128,0.964,0.6779184247538679,0.88,0.036,0.458
-0.31618667566272457,0.543,0.5233949945593036,0.962,0.6779422128259337,0.876,0.038,0.457
-0.30816120894720933,0.547,0.5257111597374179,0.961,0.6796322489391796,0.867,0.039,0.453
-0.30013574223169415,0.5545,0.5301271420674406,0.959,0.6828052687789249,0.85,0.041,0.4455
-0.29211027551617896,0.5575,0.5319622012229016,0.957,0.6838156484458735,0.842,0.043,0.4425
